revid,nameofrevolution,location,worldregion,startdatetxt,startdate,startyear,enddatetxt,enddate,endyear,yrsduration,monthsduration,daysduration,ongoing,startprior1900,fiveyrperiodstr,uncode,cowcode,cowmetrocode,unmetrocode,isoabb,indstate,colony,stateterr,foroccup,externalwar,electoralrev,politreform,urbmixrur,urbandum,leftist,antimonarch,democrat,independ,anticolonial,separatist,islamist,ethnicorder,eliterivalry,rightwing,anticommunist,othergoal,armed,civilwar,armednocivwar,urbanarmed,riots,landseizures,demonstrations,strikes,civilresistance,urbancivic,coupvolution,urbanleftist,ruralleftist,otherrural,otherurban,particnum,merchants,middleclass,intelligentsia,youth,peasants,gentry,workers,urbanpoor,business,clergy,soldiers,ethnicgroups,otherpart,totaldeaths,logdeaths,lndeaths,deathavgperyr,deathscat,ongoing,success,attainedpower,oldoverthrown,endproc,died
3,Maji-Maji Rebellion,German colony of Tanganyika,Sub-Saharan Africa,"July 31, 1905",31/07/1905,1905,August 1907,30/08/1907,1907,3,26,761,0,0,1905-09,834,510,255,276,TZA,0,1,0,0,0,0,0,R,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20000,0,0,0,0,1,0,0,0,0,1,0,1,0,143333,5.156346,11.872926,47777.7,6,0,0,0,0,4,1
4,Persian constitutional revolution,Persia,Middle East/North Africa,December 1905,01/12/1905,1905,"August 5, 1906",05/08/1906,1906,1,9,248,0,0,1905-09,364,630,,,IRN,1,0,0,0,0,0,0,U,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20000,1,1,1,1,0,0,1,0,0,1,0,0,0,23,1.361728,3.135494,11.5,2,0,1,2,0,7,1
187,Cuban Liberal Revolution of 1906,Cuba,Latin America/Carribean,"July 28, 1906",28/07/1906,1906,"September 29, 1906",29/09/1906,1906,1,3,64,0,0,1905-09,192,40,,,CUB,1,0,0,0,0,1,0,UR,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20000,0,0,0,0,1,0,0,0,0,0,0,1,1,100,2,4.60517,100,2,0,0,0,1,6,1
349,Ping-liu-li Uprising of 1906,China,Asia,"December 4, 1906",04/12/1906,1906,January 1907,15/01/1907,1907,1,2,43,0,0,1905-09,156,710,,,CHN,1,0,0,0,0,0,1,R,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20000,0,0,1,1,1,0,1,0,0,0,0,0,1,10000,4,9.21034,10000,4,0,0,0,0,1,1
7,Hanoi Poison Plot and Related Revolts,French-controlled Vietnam,Asia,"March 9, 1908",12/03/1908,1908,"November 11, 1909",11/11/1909,1909,2,21,610,0,0,1905-09,704,816,220,250,VNM,0,1,0,1,0,0,0,R,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,30000,0,0,1,0,1,0,0,0,0,0,0,0,0,102,2.0086,4.624973,51,3,0,0,0,0,1,1
6,Young Turk Revolution,Ottoman Empire,Middle East/North Africa,"July 3, 1908",03/07/1908,1908,"July 24, 1908",24/07/1908,1908,1,1,22,0,0,1905-09,792,640,,,TUR,1,0,0,0,0,0,0,U,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,,0,1,1,1,0,0,0,0,0,0,1,0,0,5,0.69897,1.609438,5,1,0,1,2,0,7,1
358,Hauran Druze Rebellion,Ottoman-controlled Syria,Middle East/North Africa,May 1909,01/05/1909,1909,August 1910,31/08/1910,1910,2,17,488,0,0,1905-09,760,652,640,792,SYR,0,0,1,0,0,0,0,R,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4500,0,0,0,0,1,1,0,0,0,0,1,1,1,2000,3.30103,7.600902,1000,4,0,0,0,0,4,1
306,Tragic Week in Catalonia,Spain,Europe,"July 25, 1909",25/07/1909,1909,"August 2, 1909",02/08/1909,1909,1,1,9,0,0,1905-09,724,230,,,ESP,1,0,0,0,1,0,0,U,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,30000,0,1,0,0,0,0,1,0,0,0,0,0,0,163,2.212188,5.09375,163,3,0,0,0,0,1,1
284,Albanian uprisings 1910-12,Ottoman-controlled Albania,Europe,March 1910,01/03/1910,1910,"September 4, 1912",04/09/1912,1912,3,31,919,0,0,1910-14,8,339,640,792,ALB,0,1,0,1,0,0,0,R,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20000,0,0,1,0,1,1,0,0,0,0,0,1,1,5000,3.69897,8.517193,1666.7,4,0,0,1,0,6,1
307,1910 Portuguese Revolution,Portugal,Europe,"October 3, 1910",03/10/1910,1910,"October 5, 1910",10/10/1910,1910,1,1,8,0,0,1910-14,620,235,,,PRT,1,0,0,0,0,0,0,U,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,40000,0,1,1,0,0,0,1,1,0,0,1,0,0,37,1.568202,3.610918,37,2,0,1,3,0,9,1
9,Mexican Revolution and Civil War,Mexico,Latin America/Carribean,"November 20, 1910",20/11/1910,1910,"April 10, 1919",10/04/1919,1919,9,101,3064,0,0,1910-14,484,70,,,MEX,1,0,0,0,0,1,0,RU,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,90000,0,1,0,1,1,0,0,0,0,0,1,0,1,1000000,6,13.815511,125000,6,0,1,3,0,5,1
10,Xinhai Revolution,China,Asia,"October 10, 1911",10/10/1911,1911,"February 12, 1912",12/02/1912,1912,1,5,126,0,0,1910-14,156,710,,,CHN,1,0,0,0,1,0,1,RU,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,100000,0,0,1,1,0,1,0,0,0,0,1,1,0,50000,4.69897,10.819778,25000,5,0,1,3,0,2,1
11,Red Week,Italy,Europe,"June 7, 1914",07/06/1914,1914,"June 14, 1914",14/06/1914,1914,1,1,8,0,0,1910-14,380,325,,,ITA,1,0,0,0,0,0,1,U,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,16,1.20412,2.772589,16,2,0,0,0,0,1,1
12,Maritz Rebellion,South Africa,Sub-Saharan Africa,"September 15, 1914",15/09/1914,1914,"February 4, 1915",04/02/1915,1915,1,5,143,0,0,1910-14,710,560,,,ZAF,0,1,0,0,1,0,0,R,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,1,1,1,300,2.477121,5.703782,150,3,0,0,0,0,4,1
285,Jangal Rebellion,Iran,Middle East/North Africa,August 1915,01/08/1915,1915,September 1921,30/09/1921,1921,7,75,2253,0,0,1915-19,364,630,,,IRN,1,0,0,1,1,0,0,R,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,8000,1,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,4,1
346,Volta-Bani War,French-controlled Burkina-Faso,Sub-Saharan Africa,November 1915,15/11/1915,1915,February 1917,15/02/1917,1917,2,16,459,0,0,1915-19,854,439,220,250,BFA,0,1,0,1,1,0,0,R,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20000,0,0,0,0,1,0,0,0,0,0,0,1,1,30000,4.477121,10.308953,15000,5,0,0,0,0,4,1
377,Easter Uprising,British-controlled Ireland,Europe,"April 24, 1916",24/04/1916,1916,"April 29, 1916",29/04/1916,1916,1,1,6,0,0,1915-19,372,205,200,826,IRL,0,0,1,0,1,0,1,U,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1760,0,0,1,1,0,0,1,0,0,0,0,1,1,482,2.683047,6.177944,482,3,0,0,0,0,1,1
14,Arab Revolt of 1916-1918,Ottoman-controlled Arab lands,Middle East/North Africa,May 1916,01/05/1916,1916,"October 1, 1918",01/10/1918,1918,3,30,884,0,0,1915-19,682,670,640,792,SAU,0,1,0,0,1,0,0,R,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30000,0,0,0,0,0,0,0,0,0,0,0,1,1,15000,4.176091,9.615805,5000,5,0,1,3,0,5,1
350,Borgawa Revolt in Dahomey,French-controlled Dahomey,Sub-Saharan Africa,"September 21, 1916",21/09/1916,1916,"December 29, 1916",29/12/1916,1916,1,4,100,0,0,1915-19,204,434,220,250,BEN,0,1,0,1,1,0,0,R,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20000,0,0,0,0,1,1,0,0,0,0,0,1,1,,,,,,0,0,0,0,1,1
382,Kaocen Rebellion,French-controlled Niger,Sub-Saharan Africa,"December 17, 1916",17/12/1916,1916,"April 30, 1920",30/04/1920,1920,4,41,1231,0,0,1915-19,552,436,220,250,NER,0,1,0,1,1,0,0,R,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1500,0,0,0,0,0,1,0,0,0,1,0,1,1,1253,3.097951,7.133296,1253,4,0,0,0,0,4,1
224,Chambelona Revolt,Cuba,Latin America/Carribean,"February 11, 1917",11/02/1917,1917,"May 20, 1917",20/05/1917,1917,1,4,99,0,0,1915-19,192,40,,,CUB,1,0,0,0,1,1,0,R,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10000,0,0,0,0,1,0,0,0,0,0,0,0,1,500,2.69897,6.214608,500,3,0,0,0,0,4,1
16,February Revolution in Russia,Russian Empire,Europe,"March 8, 1917",08/03/1917,1917,"March 16, 1917",16/03/1917,1917,1,1,9,0,0,1915-19,643,365,,,RUS,1,0,0,0,1,0,0,U,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,300000,0,1,1,0,0,0,1,0,0,0,0,0,0,1500,3.176091,7.31322,1500,4,0,1,3,0,2,1
353,Barue Rebellion,Portuguese-controlled Mozambique,Sub-Saharan Africa,"March 17, 1917",17/03/1917,1917,October 1918,15/10/1918,1918,2,19,578,0,0,1915-19,508,541,235,620,MOZ,0,1,0,1,1,0,0,R,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15000,0,0,0,0,1,1,0,0,0,1,0,1,1,,,,,,0,0,0,0,4,1
17,October Revolution and Civil War (Russia),Russian Empire,Europe,"April 3, 1917",03/04/1917,1917,"November 15, 1920",15/11/1920,1920,4,44,1323,0,0,1915-19,643,365,,,RUS,1,0,0,0,1,0,0,UR,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,3000000,0,0,1,1,1,0,1,0,0,0,1,0,0,3000000,6.477121,14.91412,250000,6,0,1,3,0,5,1
251,Basmachi Revolt,Russian-controlled Central Asia,Asia,"December 9, 1917",09/12/1917,1917,Spring 1926,30/04/1926,1926,9,101,3065,0,0,1915-19,860,704,365,643,UZB,0,1,0,0,1,0,0,R,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30000,0,0,1,0,1,0,0,0,0,1,0,1,1,300000,5.477121,12.611538,33333.3,6,0,0,0,0,4,1
20,Finnish civil war,Finland,Europe,"January 27, 1918",27/01/1918,1918,"May 15, 1918",15/05/1918,1918,1,4,109,0,0,1915-19,246,375,,,FIN,1,0,0,0,1,0,0,U,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,140000,0,0,0,0,0,0,1,0,0,0,0,0,1,28213,4.450449,10.247538,28213,5,0,0,0,0,4,1
351,Egba Revolt in Nigeria,British-controlled Nigeria,Sub-Saharan Africa,"June 12, 1918",12/06/1918,1918,"July 22, 1918",22/07/1918,1918,1,2,41,0,0,1915-19,566,475,200,826,NGA,0,1,0,1,1,0,0,R,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30000,0,0,0,0,1,1,0,0,0,0,0,1,1,2200,3.342423,7.696213,2200,4,0,0,0,0,1,1
18,Austrian Revolution of 1918,Austria,Europe,"October 21, 1918",21/10/1918,1918,"November 12, 1918",12/11/1918,1918,1,1,23,0,0,1915-19,40,305,,,AUT,1,0,0,0,1,0,0,U,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,,0,0,1,0,0,0,1,0,0,0,1,0,0,10,1,2.302585,10,1,0,1,3,0,2,1
19,Aster Revolution,Hungary,Europe,"October 25, 1918",25/10/1918,1918,"November 16, 1918",16/11/1918,1918,1,1,23,0,0,1915-19,348,310,,,HUN,1,0,0,0,1,0,0,U,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,3,0,8,1
21,German Revolution,Germany,Europe,"October 29, 1918",29/10/1918,1918,"November 9, 1918",09/11/1918,1918,1,1,12,0,0,1915-19,276,255,,,DEU,1,0,0,0,1,0,0,U,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,200000,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0.778151,1.791759,6,1,0,1,3,0,2,1
339,War of the Insane,French Indochina,Asia,"October 30, 1918",30/10/1918,1918,"November 17, 1921",17/11/1921,1921,4,37,1115,0,0,1915-19,418,812,220,250,LAO,0,1,0,1,1,0,0,R,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,1,1,,,,,,0,0,0,0,4,1
22,Haitian Revolt of 1918,American-occupied Haiti,Latin America/Carribean,December 1918,01/12/1918,1918,November 1920,30/11/1920,1920,3,25,731,0,0,1915-19,332,41,2,840,HTI,0,0,1,1,0,0,0,R,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30000,0,0,0,0,1,0,0,0,0,0,0,1,0,2592,3.413635,7.860185,1296,4,0,0,0,0,4,1
25,Sparticist Uprising and related revolts,Germany,Europe,"December  23, 1918",23/12/1918,1918,"May 3, 1919",03/05/1919,1919,1,5,132,0,0,1915-19,276,255,,,DEU,1,0,0,0,1,0,0,U,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,200000,0,0,1,0,0,0,1,0,0,0,1,0,0,2700,3.431525,7.901377,2700,4,0,0,0,0,1,1
309,Greater Polish Uprising and related revolts,German-controlled Poland,Europe,"December 27, 1918",27/12/1918,1918,"March 18, 1921",18/03/1921,1921,3,27,813,0,0,1915-19,616,290,255,276,POL,0,1,0,1,1,0,0,RU,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,1,1,1,108000,5.033424,11.589887,36000,6,0,1,3,0,5,1
26,Hungarian Revolution of 1919,Hungary,Europe,January 1919,01/01/1919,1919,"March 21, 1919",21/03/1919,1919,1,3,80,0,0,1915-19,348,310,,,HUN,1,0,0,0,1,0,0,UR,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,40000,0,0,0,1,1,0,1,1,0,0,1,0,0,600,2.778874,6.398595,600,3,0,1,2,0,2,1
383,Christmas Uprising,Yugoslav-controlled Montenegro,Europe,"January 7, 1919",07/01/1919,1919,1922,30/06/1922,1922,4,42,1271,0,0,1915-19,499,341,345,890,MNE,0,0,1,1,1,0,0,R,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4000,0,0,0,0,1,1,0,0,0,0,0,1,1,3000,3.477121,8.006368,750,4,0,0,0,0,4,1
15,Irish War of Independence,British-controlled Ireland,Europe,"January 21, 1919",21/01/1919,1919,June 1922,01/06/1922,1922,4,41,1228,0,0,1915-19,372,205,200,826,IRL,0,1,0,0,1,0,1,UR,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,15000,0,1,1,1,1,0,1,0,0,0,0,1,1,1814,3.258637,7.50329,453.5,4,0,1,2,0,8,0
24,Rif Rebellion,French- and Spanish-controlled Morocco,Middle East/North Africa,February 1919,01/02/1919,1919,"May 26, 1926",26/05/1926,1926,8,88,2672,0,0,1915-19,504,600,220,250,MAR,0,1,0,1,1,0,0,R,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100000,0,0,0,0,0,0,0,0,0,0,0,1,1,90000,4.954243,11.407565,11250,6,0,0,0,0,4,1
23,Samil Independence Movement,Japanese-controlled Korea,Asia,"March 1, 1919",01/03/1919,1919,March 1920,30/03/1920,1920,2,14,396,0,0,1915-19,,730,740,392,,0,1,0,1,1,0,0,U,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,2000000,0,1,1,1,1,0,0,0,0,1,0,1,0,7517,3.876102,8.925056,3758.5,4,0,0,0,0,1,1
27,Egyptian Revolution of 1919,British-controlled Egypt,Middle East/North Africa,"March 8, 1919",08/03/1919,1919,"February 28, 1922",28/02/1922,1922,3,36,1089,0,0,1915-19,818,651,200,826,EGY,0,1,0,0,1,0,0,UR,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1000000,1,1,1,1,1,0,1,0,0,1,0,0,0,2330,3.367356,7.753624,582.5,4,0,1,2,0,7,1
